B 9	2,2,1,4,2,2
B 9	2,4,1,4,0,2
B 9	2,4,1,4,2,2
B 9	2,4,1,4,4,2
B 9	2,4,4,4,4,2
B aug	3,2,1,0,0,3
B aug	3,2,1,0,4,3
B aug	3,2,1,4,0,3
B aug	3,2,1,4,4,3
B dim	1,2,0,4,0,1
B dim	1,2,0,4,3,1
B dim	1,2,3,4,3,1
B dim7	1,2,0,1,0,1
B dim7	1,2,0,1,0,4
B dim7	1,2,0,1,3,1
B dim7	1,2,0,1,3,4
B dim7	1,2,0,4,0,4
B dim7	1,2,0,4,3,4
B dim7	1,2,3,1,3,1
B dim7	1,2,3,1,3,4
B dim7	1,2,3,4,3,4
B dim7	4,2,0,1,0,1
B dim7	4,2,0,1,3,1
B dim7	4,2,0,4,0,1
B dim7	4,2,0,4,3,1
B dim7	4,2,3,1,3,1
B dim7	4,2,3,1,3,4
B dim7	4,2,3,4,3,1
B dim7	4,2,3,4,3,4
B m	2,2,0,4,0,2
B m	2,2,0,4,3,2
B m	2,2,4,4,3,2
B m7	2,0,0,2,0,2
B m7	2,0,0,4,0,2
B m7	2,0,0,4,3,2
B m7	2,0,4,4,3,2
B m7	2,2,0,2,0,2
B m7	2,2,0,2,3,2
B m7	2,2,4,2,3,2
B m7b5	1,0,0,2,0,1
B m7b5	1,0,0,4,0,1
B m7b5	1,0,0,4,3,1
B m7b5	1,0,3,4,3,1
B m7b5	1,2,0,2,0,1
B m7b5	1,2,0,2,3,1
B m7b5	1,2,3,2,3,1
B maj7	2,1,1,3,0,2
B maj7	2,1,1,4,0,2
B maj7	2,1,1,4,4,2
B maj7	2,1,4,4,4,2
B maj7	2,2,1,3,0,2
B maj7	2,2,1,3,4,2
B maj7	2,2,4,3,4,2
B sus	0,2,2,4,0,2
B sus	0,2,4,4,0,0
B sus	0,2,4,4,0,2
B sus	2,2,2,4,0,0
B sus	2,2,2,4,0,2
B sus	2,2,4,4,0,0
C	0,3,2,0,1,0
C	0,3,2,0,1,3
C#	1,4,3,1,2,1
C#	1,4,3,1,2,4
C	3,3,2,0,1,0
C	3,3,2,0,1,3
C#	4,4,3,1,2,1
C#	4,4,3,1,2,4
